19:02:22.827 [main] INFO  c.b.config.BrowserStackConfig - Few SDK features were not activated as platforms object was not defined
19:03:05.421 [tearDown@null] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/9wpwvvs8iyycxwuwho9hhcqhy9rgctzyeko6eyux to view build report, insights, and many more debugging information all at one place!

19:04:01.265 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
19:04:01.276 [main] INFO  c.b.config.BrowserStackConfig - Few SDK features were not activated as platforms object was not defined
19:04:41.182 [tearDown@null] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/fjqztodx5fwiyh9o3cxznik3vdkgsearrmyssebr to view build report, insights, and many more debugging information all at one place!

19:07:17.716 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
19:07:17.731 [main] INFO  c.b.config.BrowserStackConfig - Few SDK features were not activated as platforms object was not defined
19:07:54.814 [tearDown@null] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/ubazd8ztwgnigm0qxodsbgjkdzdv2btruyransjh to view build report, insights, and many more debugging information all at one place!

19:09:07.460 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
19:09:07.471 [main] INFO  c.b.config.BrowserStackConfig - Few SDK features were not activated as platforms object was not defined
19:09:43.788 [tearDown@null] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/c13cfcltqyuqaqbv7qcoetv3sgfxct9jculbg57r to view build report, insights, and many more debugging information all at one place!

19:11:10.008 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
19:11:10.021 [main] INFO  c.b.config.BrowserStackConfig - Few SDK features were not activated as platforms object was not defined
19:11:46.672 [tearDown@null] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/ixmug0bsmwcaxd1rfascde6q6wfzuau2zpe73zvc to view build report, insights, and many more debugging information all at one place!

19:13:45.803 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
19:13:45.813 [main] INFO  c.b.config.BrowserStackConfig - Few SDK features were not activated as platforms object was not defined
